2025-12-19 13:17:11,053 | INFO | Logging initialized. Log file: results\navigation\run_20251219_131711\run.log
2025-12-19 13:17:11,054 | INFO | Results will be saved to: results\navigation\run_20251219_131711
2025-12-19 13:17:11,054 | INFO | Seed: 22
2025-12-19 13:17:11,055 | INFO | Unity exe: C:\Users\anhtu\pyspark\Reinforcement_Learning_Projects\deep-reinforcement-learning-master\p1_navigation\Banana_Windows_x86_64\Banana.exe
2025-12-19 13:17:11,055 | INFO | No hyperparameter search requested; running a single configuration.
2025-12-19 13:17:11,056 | INFO | Using hyperparameters: {"batch_size":64,"buffer_size":50000,"decay_steps":300000,"double_dqn":true,"grad_clip":10.0,"hidden_dims":[128,128],"init_epsilon":1.0,"lr":0.0001,"min_epsilon":0.05,"n_warmup_batches":5,"optimizer":"Adam","rms_alpha":0.95,"rms_centered":false,"rms_eps":0.01,"rms_momentum":0.9,"schedule":"exp","target_update_every_steps":100,"tau_ratio":0.3,"use_huber":true,"weight_decay":0.0}
2025-12-19 13:17:11,059 | INFO | [default | seed 22] Start training with hparams: {"batch_size":64,"buffer_size":50000,"decay_steps":300000,"double_dqn":true,"grad_clip":10.0,"hidden_dims":[128,128],"init_epsilon":1.0,"lr":0.0001,"min_epsilon":0.05,"n_warmup_batches":5,"optimizer":"Adam","rms_alpha":0.95,"rms_centered":false,"rms_eps":0.01,"rms_momentum":0.9,"schedule":"exp","target_update_every_steps":100,"tau_ratio":0.3,"use_huber":true,"weight_decay":0.0}
2025-12-19 13:17:11,060 | INFO | [default | seed 22] === Starting run for seed 22 ===
2025-12-19 13:17:11,060 | INFO | [default | seed 22] Hyperparameters: {"batch_size": 64, "buffer_size": 50000, "decay_steps": 300000, "double_dqn": true, "grad_clip": 10.0, "hidden_dims": [128, 128], "init_epsilon": 1.0, "lr": 0.0001, "min_epsilon": 0.05, "n_warmup_batches": 5, "optimizer": "Adam", "rms_alpha": 0.95, "rms_centered": false, "rms_eps": 0.01, "rms_momentum": 0.9, "schedule": "exp", "target_update_every_steps": 100, "tau_ratio": 0.3, "use_huber": true, "weight_decay": 0.0}
2025-12-19 13:17:50,069 | INFO | [default | seed 22] elapsed_time 00:00:39, episode 0000, episode_steps 300, mean_reward_over_100_episodes_from_training 01.00±00.00, mean_exploration_ratio_over_100_episodes_from_training 0.7600±0.0000, epsilon 1.000, mean_reward_over_100_episodes_from_eval 00.00±00.00
2025-12-19 13:18:22,821 | INFO | [default | seed 22] elapsed_time 00:01:11, episode 0001, episode_steps 300, mean_reward_over_100_episodes_from_training 00.50±00.50, mean_exploration_ratio_over_100_episodes_from_training 0.7633±0.0033, epsilon 0.997, mean_reward_over_100_episodes_from_eval -0.50±00.50
2025-12-19 13:18:56,621 | INFO | [default | seed 22] elapsed_time 00:01:45, episode 0002, episode_steps 300, mean_reward_over_100_episodes_from_training 00.00±00.82, mean_exploration_ratio_over_100_episodes_from_training 0.7544±0.0129, epsilon 0.994, mean_reward_over_100_episodes_from_eval 00.00±00.82
2025-12-19 13:19:30,638 | INFO | [default | seed 22] elapsed_time 00:02:19, episode 0003, episode_steps 300, mean_reward_over_100_episodes_from_training 00.75±01.48, mean_exploration_ratio_over_100_episodes_from_training 0.7492±0.0144, epsilon 0.991, mean_reward_over_100_episodes_from_eval 01.00±01.87
2025-12-19 13:20:03,181 | INFO | [default | seed 22] elapsed_time 00:02:52, episode 0004, episode_steps 300, mean_reward_over_100_episodes_from_training 00.40±01.50, mean_exploration_ratio_over_100_episodes_from_training 0.7613±0.0275, epsilon 0.988, mean_reward_over_100_episodes_from_eval 01.00±01.67
2025-12-19 13:20:36,540 | INFO | [default | seed 22] elapsed_time 00:03:25, episode 0005, episode_steps 300, mean_reward_over_100_episodes_from_training 00.17±01.46, mean_exploration_ratio_over_100_episodes_from_training 0.7550±0.0289, epsilon 0.985, mean_reward_over_100_episodes_from_eval 00.67±01.70
2025-12-19 13:21:10,485 | INFO | [default | seed 22] elapsed_time 00:03:59, episode 0006, episode_steps 300, mean_reward_over_100_episodes_from_training 00.57±01.68, mean_exploration_ratio_over_100_episodes_from_training 0.7533±0.0270, epsilon 0.981, mean_reward_over_100_episodes_from_eval 00.57±01.59
